locust-worker  | [2026-04-07 08:36:03,268] 6be49cab011a/INFO/root: Range prime result for n=204173: {"input":204173,"totalPrimesFound":18320,"timeTaken":"18ms"}
locust-worker  | [2026-04-07 08:36:03,335] 6be49cab011a/INFO/root: Check prime result for n=90591483: {"isPrime":false,"message":"90591483 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:03,365] 6be49cab011a/INFO/root: Range prime result for n=407311: {"input":407311,"totalPrimesFound":34396,"timeTaken":"28ms"}
locust-worker  | [2026-04-07 08:36:04,158] 6be49cab011a/INFO/root: Kth prime result for k=8807: {"inputK":8807,"result":91081,"timeTaken":"3ms"}
locust-worker  | [2026-04-07 08:36:04,214] 6be49cab011a/INFO/root: Kth prime result for k=37052: {"inputK":37052,"result":441421,"timeTaken":"28ms"}
locust-worker  | [2026-04-07 08:36:04,216] 6be49cab011a/INFO/root: Check prime result for n=49932712: {"isPrime":false,"message":"49932712 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:04,273] 6be49cab011a/INFO/root: Range prime result for n=424273: {"input":424273,"totalPrimesFound":35726,"timeTaken":"52ms"}
locust-worker  | [2026-04-07 08:36:04,274] 6be49cab011a/INFO/root: Check prime result for n=78730368: {"isPrime":false,"message":"78730368 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:04,293] 6be49cab011a/INFO/root: Kth prime result for k=25458: {"inputK":25458,"result":292921,"timeTaken":"15ms"}
locust-worker  | [2026-04-07 08:36:04,295] 6be49cab011a/INFO/root: Check prime result for n=18360959: {"isPrime":false,"message":"18360959 không phải là số nguyên tố"}
